id,make_id,name,generation,first,last
674,3,CLK550,C209,2007,2010
675,3,CLK55 AMG,C209,2002,2006
676,3,CLK63 AMG,C209,2006,2010
677,3,CLK63 AMG Black,C209,2007,2009
678,3,CLK220 CDI,C209,2005,2009
679,3,CLK270 CDI,C209,2002,2005
680,3,CLK320 CDI,C209,2005,2010
681,3,E200 CDI,W211,2003,2009
682,3,E220 CDI,W211,2003,2009
683,3,E270 CDI,W211,2003,2009
684,3,E280 CDI,W211,2003,2009
685,3,E300 BlueTEC,W211,2003,2009
686,3,E320 BlueTEC,W211,2003,2009
687,3,E320 CDI,W211,2003,2009
688,3,E400 CDI,W211,2003,2009
689,3,E420 CDI,W211,2003,2009
690,3,E200 Kompressor,W211,2003,2009
691,3,E230,W211,2003,2009
692,3,E240,W211,2003,2009
693,3,E280,W211,2003,2009
694,3,E320,W211,2003,2009
695,3,E350,W211,2003,2009
696,3,E350 CGI,W211,2003,2009
697,3,E500,W211,2003,2009
698,3,E55 AMG,W211,2003,2009
699,3,E63 AMG,W211,2003,2009
700,3,SLR McLaren,Z199,2003,2009
701,3,CLS280,C219,2008,2009
702,3,CLS300,C219,2009,2010
703,3,CLS350,C219,2004,2006
704,3,CLS350 CGI,C219,2006,2010
705,3,CLS500,C219,2004,2006
706,3,CLS550,C219,2007,2010
707,3,CLS55 AMG,C219,2004,2006
708,3,CLS63 AMG,C219,2006,2010
709,3,CLS320 CDI,C219,2005,2010
710,3,CLS350 CDI,C219,2007,2010
711,3,SLK200 Kompressor,R171,2004,2011
712,3,SLK280,R171,2005,2008
713,3,SLK300,R171,2009,2011
714,3,SLK350,R171,2004,2011
715,3,SLK55 AMG,R171,2004,2011
716,3,SLK55 AMG Black,R171,2006,2008
717,3,S280,W221,2007,2013
718,3,S300,W221,2007,2013
719,3,S350,W221,2005,2009
720,3,S400,W221,2009,2013
721,3,S400 Hybrid,W221,2009,2013
722,3,S450,W221,2006,2013
723,3,S500,W221,2005,2013
724,3,S550,W221,2005,2013
725,3,S600,W221,2006,2013
726,3,S63 AMG,W221,2006,2013
727,3,S65 AMG,W221,2006,2013
728,3,S300 CDI,W221,2009,2013
729,3,S320 CDI,W221,2006,2009
730,3,S350 CDI,W221,2009,2013
731,3,S420 CDI,W221,2006,2009
732,3,S450 CDI,W221,2009,2011
733,3,ML230,W164,2006,2011
734,3,ML320,W164,2006,2011
